match_id,match_date,year,round,venue,home_team,away_team,home_score,away_score,home_win,match_result,home_margin,is_draw,crowd,home_rest_days,home_win_streak_pre,home_win_rate_l3,home_avg_pf_l3,home_avg_pa_l3,home_avg_margin_l3,home_games_l3,home_win_rate_l5,home_avg_pf_l5,home_avg_pa_l5,home_avg_margin_l5,home_games_l5,home_win_rate_l8,home_avg_pf_l8,home_avg_pa_l8,home_avg_margin_l8,home_games_l8,home_ladder_points_pre,home_season_games_pre,home_ladder_pct_pre,away_rest_days,away_win_streak_pre,away_win_rate_l3,away_avg_pf_l3,away_avg_pa_l3,away_avg_margin_l3,away_games_l3,away_win_rate_l5,away_avg_pf_l5,away_avg_pa_l5,away_avg_margin_l5,away_games_l5,away_win_rate_l8,away_avg_pf_l8,away_avg_pa_l8,away_avg_margin_l8,away_games_l8,away_ladder_points_pre,away_season_games_pre,away_ladder_pct_pre,h2h_home_win_rate,h2h_games,rest_days_diff,ladder_pct_diff,form_margin_diff_l5,home_state,away_state,is_interstate,venue_code
19830430_CarltonBlues_GeelongCats,1983-04-30,1983,6,Princes Park,Carlton Blues,Geelong Cats,85,95,0,away_win,-10,0,25480.0,7.0,0,0.6666666666666666,87.0,100.66666666666667,-13.666666666666666,3.0,0.6,95.8,95.4,0.4,5.0,0.6,95.8,95.4,0.4,5.0,12.0,5,0.6,5.0,0,0.6666666666666666,98.0,82.0,16.0,3.0,0.8,100.2,83.4,16.8,5.0,0.8,100.2,83.4,16.8,5.0,16.0,5,0.8,0.5,0,2.0,-0.20000000000000007,-16.400000000000002,VIC,VIC,0,24
19830430_MelbourneDemons_SydneySwans,1983-04-30,1983,6,Melbourne Cricket Ground,Melbourne Demons,Sydney Swans,126,93,1,home_win,33,0,22590.0,5.0,1,0.3333333333333333,96.66666666666667,106.66666666666667,-10.0,3.0,0.4,106.8,111.0,-4.2,5.0,0.4,106.8,111.0,-4.2,5.0,8.0,5,0.4,6.0,1,0.3333333333333333,85.66666666666667,149.0,-63.333333333333336,3.0,0.4,82.6,125.4,-42.8,5.0,0.4,82.6,125.4,-42.8,5.0,8.0,5,0.4,0.5,0,-1.0,0.0,38.599999999999994,VIC,NSW,1,18
19830430_StKildaSaints_FitzroyLions,1983-04-30,1983,6,Moorabbin Oval,St Kilda Saints,Fitzroy Lions,102,143,0,away_win,-41,0,16154.0,6.0,0,0.0,86.0,140.33333333333334,-54.333333333333336,3.0,0.0,83.0,130.4,-47.4,5.0,0.0,83.0,130.4,-47.4,5.0,0.0,5,0.0,7.0,4,1.0,115.66666666666667,57.666666666666664,58.0,3.0,0.8,109.4,69.4,40.0,5.0,0.8,109.4,69.4,40.0,5.0,16.0,5,0.8,0.5,0,-1.0,-0.8,-87.4,VIC,VIC,0,19
19830430_HawthornHawks_RichmondTigers,1983-04-30,1983,6,Waverley Park,Hawthorn Hawks,Richmond Tigers,88,106,0,away_win,-18,0,33096.0,7.0,1,0.6666666666666666,121.0,77.66666666666667,43.333333333333336,3.0,0.8,112.8,78.0,34.8,5.0,0.8,112.8,78.0,34.8,5.0,16.0,5,0.8,5.0,0,0.0,87.66666666666667,112.33333333333333,-24.666666666666668,3.0,0.0,87.8,118.4,-30.6,5.0,0.0,87.8,118.4,-30.6,5.0,0.0,5,0.0,0.5,0,2.0,0.8,65.4,VIC,VIC,0,33
19830507_FitzroyLions_GeelongCats,1983-05-07,1983,7,Junction Oval,Fitzroy Lions,Geelong Cats,76,67,1,home_win,9,0,18770.0,7.0,5,1.0,131.0,73.0,58.0,3.0,1.0,115.6,63.6,52.0,5.0,0.8333333333333334,115.0,74.83333333333333,40.166666666666664,6.0,20.0,6,0.8333333333333334,7.0,1,0.6666666666666666,98.33333333333333,95.0,3.3333333333333335,3.0,0.8,98.0,85.4,12.6,5.0,0.8333333333333334,99.33333333333333,83.66666666666667,15.666666666666666,6.0,20.0,6,0.8333333333333334,0.5,0,0.0,0.0,39.4,VIC,VIC,0,14
19830507_HawthornHawks_NorthMelbourneKangaroos,1983-05-07,1983,7,Princes Park,Hawthorn Hawks,North Melbourne Kangaroos,91,142,0,away_win,-51,0,13958.0,7.0,0,0.3333333333333333,93.33333333333333,99.0,-5.666666666666667,3.0,0.6,104.2,76.8,27.4,5.0,0.6666666666666666,108.66666666666667,82.66666666666667,26.0,6.0,16.0,6,0.6666666666666666,7.0,0,0.3333333333333333,119.33333333333333,120.33333333333333,-1.0,3.0,0.4,117.2,98.8,18.4,5.0,0.5,114.33333333333333,96.83333333333333,17.5,6.0,12.0,6,0.5,0.5,0,0.0,0.16666666666666663,9.0,VIC,VIC,0,24
19830507_MelbourneDemons_StKildaSaints,1983-05-07,1983,7,Waverley Park,Melbourne Demons,St Kilda Saints,108,75,1,home_win,33,0,25192.0,7.0,2,0.6666666666666666,112.33333333333333,100.66666666666667,11.666666666666666,3.0,0.6,107.0,102.6,4.4,5.0,0.5,110.0,108.0,2.0,6.0,12.0,6,0.5,7.0,0,0.0,106.0,131.0,-25.0,3.0,0.0,86.0,139.0,-53.0,5.0,0.0,86.16666666666667,132.5,-46.333333333333336,6.0,0.0,6,0.0,0.5,0,0.0,0.5,57.4,VIC,VIC,0,33
19830507_RichmondTigers_EssendonBombers,1983-05-07,1983,7,Melbourne Cricket Ground,Richmond Tigers,Essendon Bombers,112,137,0,away_win,-25,0,49707.0,7.0,1,0.3333333333333333,107.66666666666667,110.33333333333333,-2.6666666666666665,3.0,0.2,93.8,108.8,-15.0,5.0,0.16666666666666666,90.83333333333333,113.33333333333333,-22.5,6.0,4.0,6,0.16666666666666666,7.0,3,1.0,150.0,96.33333333333333,53.666666666666664,3.0,0.8,127.4,91.2,36.2,5.0,0.6666666666666666,124.5,94.5,30.0,6.0,16.0,6,0.6666666666666666,0.5,0,0.0,-0.5,-51.2,VIC,VIC,0,18
19830507_WesternBulldogs_CollingwoodMagpies,1983-05-07,1983,7,Western Oval,Western Bulldogs,Collingwood Magpies,82,88,0,away_win,-6,0,31479.0,7.0,0,0.6666666666666666,94.33333333333333,130.66666666666666,-36.333333333333336,3.0,0.8,98.6,110.6,-12.0,5.0,0.6666666666666666,94.66666666666667,109.83333333333333,-15.166666666666666,6.0,16.0,6,0.6666666666666666,7.0,1,0.3333333333333333,106.66666666666667,114.66666666666667,-8.0,3.0,0.2,100.6,108.4,-7.8,5.0,0.3333333333333333,106.33333333333333,111.16666666666667,-4.833333333333333,6.0,8.0,6,0.3333333333333333,0.5,0,0.0,0.3333333333333333,-4.2,VIC,VIC,0,34
19830508_SydneySwans_CarltonBlues,1983-05-08,1983,7,Sydney Cricket Ground,Sydney Swans,Carlton Blues,118,149,0,away_win,-31,0,15432.0,8.0,0,0.3333333333333333,101.66666666666667,129.33333333333334,-27.666666666666668,3.0,0.2,79.0,128.6,-49.6,5.0,0.3333333333333333,84.33333333333333,125.5,-41.166666666666664,6.0,8.0,6,0.3333333333333333,8.0,0,0.3333333333333333,83.0,103.33333333333333,-20.333333333333332,3.0,0.4,85.6,99.2,-13.6,5.0,0.5,94.0,95.33333333333333,-1.3333333333333333,6.0,12.0,6,0.5,0.5,0,0.0,-0.16666666666666669,-36.0,NSW,VIC,1,26
